리뷰키,카테고리 코드,제품명,브랜드,모델코드,리뷰,도움 수,사진 수,댓글 수,텍스트 길이,기본값 1,작성시간,경과시간,인기 점수,생성된 상품 키워드,생성된 리뷰 제목
1VTaNl,AIRPU,코웨이,노블 공기청정기 15평형,AP-1521B,"장점 :
일단 자동으로 맞추어놓으면 알아서 모드 변경해서  작동되서 편하고 어플을 통해 제어가능하며 실내외 공기 이상발생 시 알림서비스가 와서 믿음주는 시스템입니다.

단점 :
생각보다 크기가 크다는것 외에는 별다른 단점을 아직 발견 못했습니다. 
",0,2,0,339,1,2022-04-29 10:37:41,159,0.2890270848,코웨이 노블 공기청정기,코웨이 노블 공기청정기 15평형 리뷰
1VTaRl,AIRPU,SK매직,올클린 공기청정기 20평형,ACL20C1AS,"장점 :
원통형으로 360° 공기청정이 가능해  평면 공기청정기보다 보다 많은 먼지를 정화할 수 있을거라 믿습니다.

단점 :
매니저가 방문하더라도 중간중간 직접 프리필터에 있는 먼지를 
직접 청소해줘야되서 약간의 번거로움이 있습니다. 
",1,2,0,318,1,2022-04-29 10:39:02,159,0.9896347232,SK매직 올클린 공기청정기 20평형,360° 공기청정과 유지 관리의 번거로움
1VTaRn,AIRPU,코웨이,노블 공기청정기 30평형,AP-3021D,"장점 :
일단 디자인이 너무 이뻐서 저희거실에도 잘어울려서 좋았어요 모던한느낌이라 유행도안탈것같고 소음도 조용해서 좋아요

단점 :
단점은 너무 조용해서 작동을 하는건가 이런생각은 들었어요 ..그만큼 소음은 안나는 제품입니다.
",0,2,0,315,1,2022-04-29 10:42:36,159,0.2890270848,노블 공기청정기 30평형,코웨이 노블 공기청정기 30평형 리뷰
1VTaa7,BIDET,쿠쿠,직수형 클렌비스 비데 (CBT-C1031W),CBT-C1031W,"장점 :
동작이 간편하고 작동이 잘된다. 많은 기능 필요없는 사람한테는 딱이다.

단점 :
세정력 조절을 매번 해줘야해서 약간 불편하고 그것 이외에는 단점 모르겠다.
",0,1,0,221,1,2022-05-01 23:04:59,158,-0.6998422514,직수형 클렌비스 비데,쿠쿠 직수형 클렌비스 비데 (CBT-C1031W) 사용 후기
6Dy8qGW,BIDET,SK매직,올클린 버블 살균 비데,BIDS36DR26WH,"장점 :
버블세척으로 더 깨끗하고 편리한 관리가 가능
물청소를 하더라도 안심하고 청소할수있는 방수능력


단점 :
가격적으로 3천원정도만 더 저렴했으면 하는 
개인적인생각 말고는 없음
",0,2,0,251,1,2022-05-03 14:52:07,158,0.2901627526,올클린 버블 살균 비데,SK매직 올클린 버블 살균 비데 리뷰
6Dy8qGX,BIDET,코웨이,더블케어 플러스 비데,BAS38-A,"장점 :
일단 코웨이라서 믿고 구매했습니다. 자동 세척 기능때문에ㅇ 제품을 선택했는데 항상 깨끗하게 관리되고 있어서 정말 편리합니다.

단점 :
단점은 딱히 없는데 저는 자동 물내림 기능을 추가 했는데 이걸 온오프가 가능하면 좋겠네요 
",0,2,0,320,1,2022-05-03 15:01:34,158,0.2901627526,코웨이 더블케어 플러스 비데,코웨이 더블케어 플러스 비데 리뷰: 자동 세척의 편리함과 개선 희망점
6Dy8qGY,BIDET,코웨이,더블케어 비데,BAS37-A,"장점 :
비데 사용할때 마다 알아서 노즐 세척을 해줘서 깨끗하게 사용할수 있고 노즐 원하는 위치로 할수 있어서 너무 만족합니다

단점 :
세정하는데  시간이 조금 짧은거 같습니다  그거말고는 단점은 찾아볼수가 없네요
",0,2,0,293,1,2022-05-03 18:09:02,158,0.2901627526,코웨이 더블케어 비데,코웨이 더블케어 비데 리뷰: 자동 노즐 세척과 사용자 맞춤 기능의 만족도
6Dy8qKf,AIRPU,LG,퓨리케어 360° 공기청정기 펫플러스 19평형,AS191DNPRM,"장점 :
진짜 있고 없고 차이는 심한거같아요 강아지 털 날라다니는거ㅛ도 80프로 이상 잡아주네요 대박 ㅎ

단점 :
펫모드로 해놓으면 소음이 조금 있어요ㅠㅠ 근데 신경쓰일정도는 아니고 계속 돌아가서 잡아주긴해요
",0,2,0,288,1,2022-05-27 21:03:12,155,0.293635818,LG 퓨리케어 360° 공기청정기 펫플러스 19평형,LG 퓨리케어 360° 공기청정기 펫플러스 19평형 리뷰: 반려동물 털 제거에 탁월한 성능
6Dy8qKn,AIRPU,SK매직,올클린 공기청정기 25평형,ACL25C1AS,"장점 :
디자인이 예뻐서 사무실에 둬도 튀지않고 어우려져 이뻐요 청정능력도  다른제품들과 비교해 떨어지지 않아요 만족합니다!

단점 :
특별히 불편한점은 딱히 없어요  크기가 커서 옮길때  전선줄이 조금 더 길었음 좋겠어요 
",0,1,0,304,1,2022-05-29 20:03:02,154,-0.2236291508,올클린 공기청정기 25평형,SK매직 올클린 공기청정기 25평형 리뷰
6Dy8qOs,AIRPU,SK매직,올클린 공기청정기 25평형,ACL25C1AS,"장점 :
일단 디자인이 참 마음에 듭니다~ 크기가 생각보다 커서 놀랐지만 40평대 아파트 거실이 두니 그렇게 크지도 않고 공기정화 능력도 좋은듯 해서 만족하며 사용 중입니다~

단점 :
아직까지 사용하면서 특별한 단점은 아직 발견 못했네요 ㅎㅎ 정말 굳이 하나 뽑는다면.. 크기가 많이 크다는 정도?!
",0,2,0,399,1,2022-06-23 16:50:53,151,0.2984271881,공기청정기,SK매직 올클린 공기청정기 25평형 리뷰
